Id,index1,cluster,text
https://www.newyorker.com/news/news-desk/trump-finally-finds-reasons-to-punish-russia,0,0,after fourteen months of mixed signals and confused policy on russia the trump administration took twin actions on thursday to address the increasingly aggressive moves by the government of vladimir putin washington slapped sanctions on nineteen prominent russian individuals and five entitiesincluding russian intelligence servicesfor meddling in the presidential election and for malicious cyberattacks that targeted a stunning array of americas infrastructure from the us energy grid and nuclear plants to aviation water systems and manufacturing in an intriguing twist thirteen of the russians who were sanctioned were indicted last month in the investigation by the special counsel robert mueller president trump has repeatedly dismissed allegations that russia tried to sway the electionas a hoax or fake newsdespite the unanimous consensus of the intelligence community when the president met putin in vietnam in november he even embraced the russian leaders denial of any role in the us presidential vote he said he absolutely did not meddle in our election he did not do what theyre saying he did trump told reporters aboard air force one four months ago that whole thing was set up by the democrats the new sanctions stop decidedly short of charging that russia actually influenced the outcome of the vote in trumps favorsomething trump has vehemently argued did not occur but they are the most significant of limited actions the administration has adopted since taking office the white house imposed the sanctions as the times reported that mueller had recently subpoenaed documents from the trump organization related to russia as well as other topics that the special counsel is investigating the trump organization oversees the business ventures the president amassed before taking office if true the move by mueller brings the investigation closer than ever to the president and his family circle in addition to the sanctions the white house issued a joint statement with the three big european powersbritain france and germanycondemning russia for using a chemical weapon in a recent assassination attempt on a former spy sergei v skripal and his daughter yulia in britain this use of a militarygrade nerve agent of a type developed by russia constitutes the first offensive use of a nerve agent in europe since the second world war the statement said it threatens the security of us all britain reported that skripal was exposed to novichok which was developed by russia more than thirty years ago but has never been used on a battlefield scientists report that it is more dangerous than vx and sarin the two other betterknown nerve agents and is harder to trace skripal a former militaryintelligence officer who was arrested in russia in for spying for britain was released in a spy swap in he and his daughter collapsed on a public bench in salisbury england on march th both are still in critical condition the attack was widely considered a warning from moscow to russian dissidents exiles and spies on a broader level however the attack in britain and the meddling in american elections are considered signs of putins boldness in spreading his influence globallywell beyond ukraine which his forces invaded in or syria where it dispatched new military advisers warplanes and other major military equipment in putin is moving deeplyand blatantlyinto the west now too on a scale similar to the soviet union during the cold war the joint statement called the skripal assassination attempt which also seriously injured a police officer and others an assault on britains sovereignty as well as a breach of international law and russias commitment under the chemical weapons convention we call on russia to live up to its responsibilities as a member of the un security council to uphold international peace and security the four governments said the statement followed heated attacks on russia at the un security council on wednesday but it opted not to try to adopt a formal resolution because russia holds one of the five vetoes trumps public comments on the poisoning have not been quite as tough as the white houses statement pressed on russias culpability in the attack on the former russian spy he told reporters it looks like it i spoke with the british prime minister and we are in deep discussions a very sad situation it certainly looks like the russians were behind it something that should never ever happen were taking it very seriously as are i think many others the trump administration said its moves this week do not reflect the full scope of its response by no means will this constitute the end of our ongoing campaign to instruct mr putin to change his behavior a senior nationalsecurity official said during a white house teleconference briefing treasury secretary steven mnuchin specifically warned russian officials and oligarchs against destabilizing activities the department of homeland security and the fbi issued an alert accompanying the sanctions that detailed the wide scope of russias cyberattack on american infrastructure it described the attack as a multistage intrusion campaign by russian government cyber actors who targeted small commercial facilities networks where they staged malware conducted spear phishing and gained remote access into energy sector networks the russian organizations sanctioned include the federal security service which is the successor to the soviet unions notorious kgb as well as russian military intelligence or gru both were also sanctioned by the obama administration for their role in election interference also cited were the internet research agency and twelve people working for it in various capacities russia said thursday that it was preparing a response and blamed the us move on washingtons political dysfunction it is tied to us internal disorder tied of course to our election calendar deputy foreign minister sergei ryabkov told the news agency tass russians holds a presidential election on sunday that putin is expected to win in a landslide the only real question is the turnout
http://www.bbc.co.uk/news/uk-43367515,1,1,were dealing here with agriculture he told me to create conditions for the lives of our people and you talk to me about some tragedies first get to the bottom of what happened there and then well discuss this
http://www.independent.co.uk/news/uk/home-news/sergei-skripal-latest-russia-uk-diplomatic-row-sergei-lavrov-attack-theresa-may-gavin-williamson-spy-a8258566.html,2,2,get the free morning headlines email for news from our reporters across the world sign up to our free morning headlines email please enter a valid email address please enter a valid email address sign up i would like to be emailed about offers events and updates from the independent read our privacy notice thanks for signing up to the morning headlines email verifyerrors message verifyerrors verifyerrors something went wrong please try again later verifyerrors russian foreign minister sergei lavrov has hit back at theresa may and defence secretary gavin williamson over allegations the country poisoned an exspy with a powerful nerve agent on british soil saying the kremlin has stopped paying attention the attack on sergei skripal in an italian restaurant in salisbury and the pms subsequent decision to expel russian diplomats from the uk backed by western powers has greatly angered moscow ahead of the countrys forthcoming presidential election this sunday speaking at a summit on the syria crisis in kazakhstan mr lavrov was asked by reporters whether president vladimir putins government intended to dismiss british diplomats in retaliation of course we will he replied but declined to give further details other than to say it would happen soon he also said he considered ms mays response a violation of international agreements according to reuters he also turned his fire on mr williamson who yesterday suggested that russia should go away and shut up by speculating maybe he lacks education back in moscow williamson was the subject of even more severe criticism from defence ministry spokesman majorgeneral igor konashenkov who likened him to a market wench and said he suffered from extreme intellectual impotency according to the daily mail defence secretary gavin williamson frankly russia should go away and should shut up skripal and his daughter yulia remain gravely ill in hospital after coming into contact with a russianmade toxin novichok while enjoying sunday lunch in a branch of zizzi in the quiet wiltshire cathedral town two weeks ago the us france and germany have presented a united front in support of ms mays handling of the controversy which has reminded many of the climate of intrigue that abided at the height of the cold war a statement released by us president donald trump french president emmanuel macron and german chancellor angela merkel yesterday read theresa may orders biggest expulsion of russian spies in years in response to salisbury poisoning the united kingdom briefed thoroughly its allies that it was highly likely that russia was responsible for the attack we share the uk assessment that there is no plausible alternative explanation and note that russias failure to address the legitimate request by the uk government further underlines its responsibility we call on russia to address all questions related to the attack in salisbury russia should in particular provide full and complete disclosure of the novichok programme to the organisation for the prohibition of chemical weapons for its part russias response to the allegations against it has been indignant russias ambassador to the uk alexander vladimirovich yakovenko yesterday described ms mays expulsion of diplomats as absolutely unacceptable and a provocation and urged her to follow international law moscows envoy to the un vasily nebenzya responded to britain giving his country a hour deadline to answer the poisoning accusations earlier this week by saying russia does not speak the language of ultimatums and protesting that it had been asked to confess without being given the opportunity to carry out its own investigations salisbury attack timeline of events theresa may continued the war of words by telling parliament their response demonstrated complete disdain for the gravity of these events they have treated the use of a militarygrade nerve agent in europe with sarcasm contempt and defiance skripal attack aftermath in pictures show all skripal attack aftermath in pictures skripal attack aftermath in pictures scene of attack members of the emergency services in hazard suits fix the tent over the bench where sergei and yulia skripal were found unconscious on a park bench in salisbury in march getty skripal attack aftermath in pictures victim sergei skripal the retired russian colonel and former double agent for mi was in a critical condition in hospital for more than two months after being exposed to novichok in salisbury he was given refuge in the uk after being jailed in moscow for treason mr skripal came to britain as part of a highprofile spy swap in in which four men were exchanged for ten russian sleeper agents in the us in this image he is speaking to his lawyer from behind bars in moscow in ap skripal attack aftermath in pictures victim yulia skripal yulia skripal was struck down by a novichok poison alongside her father sergei facebook skripal attack aftermath in pictures scene of attack a police officer stands guard outside a branch of the italian chain restaurant zizzi where the pair dined at before falling ill it was boarded off whilst investigators worked on the building and later found traces of the chemical weapon within it afpgetty skripal attack aftermath in pictures scene of attack large areas of central salisbury were cordoned off by police following the discovery of the skripals traces of nerve agent were also found in the mill pub pa skripal attack aftermath in pictures victim nick bailey detective sergeant nick bailey rushed to the aid of the russian exspy and his daughter who were targeted with a nerve agent he was hospitalized after aiding them and didnt leave until three weeks after the attack wiltshire policerex skripal attack aftermath in pictures police investigation skripals home police believe they were poisoned at home and detectives found the highest concentration of novichok on the front door of mr skripals house getty skripal attack aftermath in pictures theresa may visits scene of attack britains prime minister theresa may spokes with wiltshire polices chief constable kier pritchard near where the skripals were found britain expelled russian diplomats over the nerve agent poisoning and suspended highlevel contacts including for the world cup on march theresa may told parliament that russia had failed to respond to her demand for an explanation on how a sovietdesigned chemical novichok was used in salisbury afpgetty skripal attack aftermath in pictures skripal days before attack sergei skripal days before he was exposed to novichok that has left him fighting for life itv news skripal attack aftermath in pictures police investigation military involvement british soldiers were deployed soon after the attack to help a counterterrorism investigation into the nerve agent attack one of the places they were asked to help out with was skripals home and its surrounding they were asked to remove a vehicle connected to the agent attack in salisbury from a residential street in gillingham afpgetty skripal attack aftermath in pictures police investigation personnel in protective coveralls and breathing equipment cover an ambulance with a tarpaulin at the salisbury district hospital afpgetty skripal attack aftermath in pictures police investigation the investigation extended to the grave of sergei skripals son alexander in london road cemetery getty skripal attack aftermath in pictures police investigation the counter terrorism policing network requested assistance from the military to remove a number of vehicles and objects from salisbury epa skripal attack aftermath in pictures home secretary visits scene of attack home secretary amber rudd visited the scene of the nerve agent attack at the maltings shopping centre on march getty skripal attack aftermath in pictures yulia skripal speaks for the first time yulia skripal speaking for the first time said she felt lucky to have survived the nerve agent attack in salisbury which left her fighting for life ms skripal said her life had been turned upside down by the assassination attempt but the russian national added she hoped to return to her homeland one day despite the kremlin being blamed for the attack reuters ms may visited salisbury yesterday to meet with emergency services personnel and forensic investigators pursuing the skripal affair the old city has been described as a ghost town following its dramatic turn in the international spotlight with local shops pubs and restaurants forced to advertise that they remain open for business despite fears over the spread of chemical contaminants as a result of the incident
https://www.huffingtonpost.com/entry/hundreds-urged-to-wash-clothes-after-uk-nerve-agent-attack_us_5aa5abc3e4b086698a9efd0c,4,4,salisbury england reuters hundreds of people who visited the zizzi restaurant or the mill pub in the english city of salisbury were told on sunday to wash their clothes after traces of nerve agent used to attack a former russian spy last week were found at both sites public health england said there was no immediate health risk to anyone who may have been in either the restaurant or the pub but there was a small chance that any of the agent that had come into contact with clothing or belongings could still be present in minute amounts and contaminate skin former double agent sergei skripal and his daughter yulia have been in hospital in a critical condition since march when they were found unconscious on a bench in the southern english cathedral city of salisbury advertisement we have now learned there has been some trace contamination by the nerve agent in both the mill pub and zizzi restaurant in salisbury chief medical offer sally davies said on sunday she said she was confident that no one who was in the restaurant or the pub on march or had been harmed but their clothing should be washed and personal items like phones wiped as a precaution against any longterm exposure to any substance skripal and his daughter remained in a critical but stable condition in intensive care the chief executive of the local hospital said at a news conference a police officer who initially responded was conscious and in a serious but stable condition she added advertisement british police have said a nerve agent was used against skripal and his daughter but have not made public which one small risk public health england said it had weighed new evidence before issuing its advice on sunday and it said the general public had not been at risk in the days since the attack this is about a very very small risk of repetitive contact for any traces of contamination that people may have taken out public health englands deputy medical director jenny harries said at the same press conference henry nicholls reuters in risk terms one or two days is not what we are concerned about what we are worrying about is whether there could be an ongoing risk that could build over the future advertisement cordons were still around the restaurant and the pub on sunday and police could not say how long they would remain a number of police cars and other vehicles were removed from a local car park by soldiers wearing protective clothing and gas masks on sunday a reuters eyewitness said items from the zizzi restaurant including a table had been removed and destroyed the bbc said local residents said they were concerned by the warnings about contamination issued to the people who had visited the venues its worried a lot of people dog walker phil burt said this town is usually packed on a sunday but i think a lot of people are just staying away many in british media and politics have speculated that russia could have played a part in the attack on skripal but interior minister amber rudd said on saturday it was too early to say who was responsible advertisement skripal betrayed dozens of russian agents to british intelligence before his arrest in moscow in he was sentenced to years in prison in and in was given refuge in britain after being exchanged for russian spies finance minister philip hammond said britain would respond appropriately if a foreign state is found to have been involved in the poisoning this is a police investigation and it will be evidenceled and we must go where the evidence takes us hammond told bbc television on sunday
https://www.washingtonpost.com/world/national-security/trump-a-reluctant-hawk-has-battled-his-top-aides-on-russia-and-lost/2018/04/15/a91e850a-3f1b-11e8-974f-aacd97698cef_story.html,5,5,comment on this story comment gift article share president trump seemed distracted in march as his aides briefed him at his maralago resort on the administrations plan to expel russian diplomats and suspected spies the united states they explained would be ousting roughly the same number of russians as its european allies part of a coordinated move to punish moscow for the poisoning of a former russian spy and his daughter on british soil well match their numbers trump instructed according to a senior administration official were not taking the lead were matching the next day when the expulsions were announced publicly trump erupted officials said to his shock and dismay france and germany were each expelling only four russian officials far fewer than the his administration had decided on the posts anton troianovski and louisa loveluck explain why the joint united states military strike against syria on april will likely have little effect video anton troianovski louisa loveluck joyce leethe washington post the president who seemed to believe that other individual countries would largely equal the united states was furious that his administration was being portrayed in the media as taking by far the toughest stance on russia advertisement his briefers tried to reassure him that the sum total of european expulsions was roughly the same as the us number i dont care about the total the administration official recalled trump screaming the official like others spoke on the condition of anonymity to discuss internal deliberations growing angrier trump insisted that his aides had misled him about the magnitude of the expulsions there were curse words the official said a lot of curse words after airstrikes against syrian chemical weapons facilities on april lawmakers and trump administration officials weighed in on the attack video jenny starrsthe washington post photo susan walshthe washington post the incident reflects a tension at the core of the trump administrations increasingly hardnosed stance on russia the president instinctually opposes many of the punitive measures pushed by his cabinet that have crippled his ability to forge a close relationship with russian president vladimir putin the past month in particular has marked a major turning point in the administrations stance according to senior administration officials there have been mass expulsions of russian diplomats sanctions on oligarchs that have bled billions of dollars from russias already weak economy and for the first time a presidential tweet that criticized putin by name for backing syrian leader bashar alassad advertisement on friday night the united states acting with britain and france attacked assads chemical weapons facilities as punishment for what they say was his use of agents on civilians un ambassador nikki haley said sunday that the administration plans to announce additional sanctions against russia soon a white house spokesman stressed that trumps russia policy has been consistent and tough from his earliest days in office and that the president supports the recent moves while we would like to work with russia when faced with their malign activities on the international stage the president will hold them accountable raj shah said some close to trump say the recent measures are the product of an ongoing pressure campaign to push the president to take a more skeptical view of the russian leader advertisement if youre getting briefed by the cia director on all this stuff theres a point where even if youre donald j trump you think hmm putins a really bad guy said former house speaker newt gingrich an informal trump adviser others note trumps ongoing unease with his own policy even as his administration has ratcheted up the pressure on putins inner circle trump has continued in recent weeks to make overtures to the russian leader congratulating him on his election win and in a move that frustrated his national security team inviting him to visit the white house i think i could have a very good relationship with russia and with president putin trump said at a news conference just days after the largest expulsion of russians in us history and if i did that would be a great thing and theres also a possibility that wont happen who knows advertisement trump came to the white house believing that his personal relationships with other leaders would be central to solving the worlds thorniest foreign policy problems administration officials said in trumps mind no leader was more important or powerful than putin they said a cooperative relationship with the russian leader could help trump find solutions to problems that bedeviled his predecessor in places such as ukraine syria and north korea former president barack obama had a tense relationship with putin trump said he could do better but felt stymied by the media congress and special counsel robert s mueller iiis probe into russias interference in the election any conciliatory move he made toward putin came under heavy scrutiny when will all the haters and fools out there realize that having a good relationship is a good thing trump tweeted in november they are always playing politics bad for our country advertisement privately he complained to aides that the medias fixation on the mueller probe was hobbling his effort to woo putin i cant put on the charm the president often said according to one of his advisers im not able to be president because of this witch hunt as the months passed the presidents options for improving relations with russia narrowed in late july congress overwhelmingly approved new sanctions on moscow that were widely seen as a rebuke of trumps efforts to reach out to putin it took aides four days to persuade trump to sign the bill which had cleared with a vetoproof majority trump advisers were reluctant to even raise the topic of russian interference in the election which trump equated with democrats efforts to undermine his victory its just kind of its own beast a senior national security official said its been a constant from day one advertisement gingrich and other trump advisers said cia director mike pompeo the secretary of state nominee was one of the few advisers who could address russia without raising the presidents ire in january pompeo told the bbc that he had every expectation that russia would make an effort to disrupt the midterm elections privately he pushed trump to take a tough line on moscow one area where aides worked to change trumps mind was on a proposal to sell antitank missiles to ukraine obama had opposed the move for fear of angering moscow and provoking a russian escalation trump initially was also hesitant to support the move which had the backing of the pentagon and state department he would say why is this our problem why not let the europeans deal with ukraine a us official said advertisement aides described a lobbying effort by pompeo haley and defense secretary jim mattis in support of the lethal aid i just want peace trump would say when pressed on ukraine his aides countered that the weapons would help achieve peace by deterring further russian aggression to bring the president around us officials argued that the million military aid package could be a boon to us taxpayers if cashstrapped kiev stabilized and someday became a reliable buyer of american military hardware to the surprise of even his closest advisers the president agreed late last year to the weapons transfer on the condition that the move be kept quiet and made without a formal news release aides tried to warn him that there was almost no way to stop the news from leaking when it broke russia hawks in congress praised the president another significant step in the right direction said sen john mccain rariz a frequent trump critic but trump was still furious an administration official said advertisement for some reason when it comes to russia he doesnt hear the praise a senior administration official said politically speaking the best thing for him to do is to be tough on that one issue he cannot hear the praise the poisoning in britain in early march of former russian spy sergei skripal and his daughter yulia with a nerve agent upped the tension between trump and his advisers initially the president was hesitant to believe the intelligence that russia was behind the attack a fact that some aides attributed to his contrarian personality and tendency to look for deeper conspiracies to persuade him his advisers warned that he would get hammered in the press if he was out of step with us allies officials said there was a sense that we couldnt be the only ones not to concede to reality the trump adviser said the next task was convincing trump that he should punish putin in coordination with the europeans why are you asking me to do this trump asked in a call with british prime minister theresa may according to a senior white house official whats germany going to do what about france he was insistent that the poisoning in the english city of salisbury was largely a european problem and that the allies should take the lead in moving against russia trump told aides in an oval office session on march that he was confident french president emmanuel macron would deliver on promises to expel russian officials but that he was worried about german chancellor angela merkel whose country depends on russian oil and gas the next day at his maralago resort trumps aides gave him the final memo with the precise number of american expulsions the president signed the order on the plane back to washington trump was furious as news reports described the expulsions as the largest purge in us history and noted the wide gap between the united states and its allies if you had told me france and germany were only doing four thats what we would have done one official recalled him saying some officials said it was a simple misunderstanding others blamed the presidents strained relationship with his top aides including hr mcmaster his former national security adviser anytime mcmaster came in with a recommendation he always thought it was too much the trump adviser said they were just oil and water on everything so his natural impulse was if this was your recommendation it must be too far in the days since the expulsions trump has continued to take tough new actions to punish russia early this month the administration sanctioned senior russian officials and seven oligarchs and their companies prompting russias foreign ministry to threaten a harsh response the sanctions were followed by an alleged chemical attack that killed dozens of syrians in the rebelheld town of douma east of syrias capital president putin russia and iran are responsible for backing animal assad trump tweeted in his first byname criticism of the russian leader big price to pay the relatively modest airstrikes that trump ordered friday were designed to deter assad without provoking a broader military conflict with russia some european diplomats in washington question whether the tough moves have trumps full support this wouldnt be the policy unless trump supports it yes asked one ambassador russia analysts seem just as mystified this is a man who if he had his druthers would be pursuing a much more open and friendly policy with russia said angela stent a former white house official and professor at georgetown university the united states essentially has three russia policies the presidents the executive branchs and congresss less than a month after trump shocked his foreign policy advisers by inviting putin to the white house the prospects for a visit anytime soon seem remote no date has been set white house officials said were not rushing to do this meeting a senior administration official said our team wasnt thrilled about the idea julie tate contributed to this report giftoutline gift article
https://sputniknews.com/analysis/201803281062982003-daniel-mcadams-sputnik-interview-skripal-diplomatic-expulsions/,10,10,daniel mcadams i have a theory its just a theory but if you look at what is going to happen in may i think it becomes very plausible and worth considering a couple of factors first of all the neocons are on the ascent in the trump administration we absolutely know that with rise of mike pompeo gina haspel and now the arrival of john bolton as national security advisor these are people who are dedicated to having a war with iran it is in may that president trump is expected to pull the us out of the iran nuclear deal the huge question is what will the eu do will the eu go along with the united states and pull out of a deal thats proven a very successful and b rather lucrative especially to countries like germany which are enjoying quite a bit of trade with iran now will they fall in line on an issue that will hurt them hurt their economies with no real gain only because washington says so or will there be a huge break with the us and will they refrain i think this a test run for this i think youre seeing now what will happen in may when president trump as expected pulls the us out of the iran deal in short this is all about iran sputnik who had reasons to harm skripal because there are a lot of theories floating around on why russia the us the uk would want to get rid of him what theories are you familiar with and which do you think actually makes sense daniel mcadams the whole thing is that it doesnt make sense and its not supposed to make sense what reason would putin have for poisoning a hasbeen washed up former double agent who was living out his retirement in the uk having not only served his time in a russian jail but been sent to the uk by russia
https://www.newyorker.com/news/news-desk/with-expulsions-of-russians-the-westen-masseconfronts-putin,11,11,in sweeping retaliation for russias growing aggression in the west the united states and nineteen other nations expelled more than a hundred and thirty russian intelligence officers and diplomats on monday the coördinated rebukegalvanized after moscows alleged assassination attempt on a former double agent living in britainis unprecedented since the cold war which ended more than a quarter century ago it sends a muscular message from the west to president vladimir putin that he cant attack one western country without generating a broad response from them all a western diplomat told me but it also signals the potential for a deeper confrontation that could ripple across other global flashpoints where western and russian interests compete the showdown also has serious implications for president trumps hopes of improving relations with putin whom he congratulated just last week on his reëlection to another sixyear term this is in many ways the end of an illusionthe illusion of some sort of grand bargain with putin under which trump has seemed to operate for so long william burns a former us ambassador to russia and now the president of the carnegie endowment for international peace told me further actions by the western alliance are also on the table a western diplomat told me today was a pretty extensive set of measures well see what russia does in response he said we and our allies are constantly talking to each other about how we deal with this strategic threat the locker is not empty the white house said that it had not ruled out sanctions against putin himself washington took the biggest step ordering sixty spiesfortyeight in washington and twelve in russias mission to the united nations all of whom had been operating under diplomatic coverto leave the country within seven days it also ordered the closure of russias consulate in seattle which is close to a us naval base and the headquarters of boeing on monday a sign on the consulate door said that it was no longer taking applications for passports or visas other nations from canada and croatia to spain and sweden also followed britains decision earlier this month to expel twentythree russians in all twentyone western nations have now ordered the ouster of a hundred and thirtyfive spies and diplomats the united states takes this action in conjunction with our nato allies and partners around the world in response to russias use of a militarygrade chemical weapon on the soil of the united kingdom the white house said in a statement in a briefing a senior administration official said that the actions make the united states safer by reducing russias ability to spy on americans and to conduct covert operations that threaten americas national security russia announced that it would respondin kind in washington where early on monday he was summoned to the state department for official notification the russian ambassador anatoly antonov called the expulsions provocative very little still remains in terms of russianamerican relations he told a russian news agency in a strange twist the russian embassy tweeted us administration ordered the closure of the russian consulate in seattle gkseattle what us consulate general would you close in russia if it was up to you to decide it offered options to check the us consulate in vladivostok yekaterinburg or st petersburg twitter content this content can also be viewed on the site it originates from in moscow the foreign ministry spokeswoman maria zakharova said on national television that britain had not provided any evidence to support allegations that russia had used novichok a lethal chemical weapon that has never been used on the battlefield to poison sergei skripal and his daughter yulia in the british cathedral city of salisbury tensions between the west and russia are likely to escalate at least in the short term in what could look like a cold war on steroids nina khrushcheva who is the granddaughter of the former soviet premier nikita khrushchev and who now teaches at the new school in new york told me putin is judoesque to the core of his being for him this is all a game whos he going to screw next he wants the upper hand he doesnt give up he doesnt stand back he sees an opening and strikes he punches ten times what he receives hes a brilliant tactician but a petty man weve seen that for all his eighteen years in power the danger down the road khrushcheva said is putin taking broader retaliationpulling out of international agreements complicating foreign businesses operations or expelling more diplomats and even foreign journalists we cant predict exactly she said seizing crimea may seem shortsighted from the rational point of view russia got a hit in international affairs but for putin it was a rise in russian patriotism the poisoning of skripal was shortsighted and the timing was badbefore the elections on march thbut given putins view that enemies traitors must be punished russia unlikely regrets it in essence from a position of bettering the country putin is always shortsighted but with his tactical victories he is always willing to say russia is going to be strong even if it means being punished by the west even going hungry others say that the diplomatic crisis could over time force russia to rethink its strategy it faces a growing economic morass troubling demographic trends the cost of foreign military interventions in crimea and syria and diminished international standing putin literally cant afford another cold war william taylor a former us ambassador to ukraine told me this is not the cuban missile crisis tom pickering a former us ambassador to russia and the un added but there are a lot of lessons from the cuba crisis that we should pay attention to such as overreaction overreliance on nuclear weapons talking about them as if theyre something anybody can use and a clear sense that unless adults are truly in charge of the relationship it can get worse without control he warned that the united states and its allies need a strategy with a combination of pushback and messaging through diplomatic channels at the highest level to find ways to avoid real peril at the moment its a game of chicken with no offramp pickering told me and we need to be looking at the offramp the new diplomatic démarche differs from previous rounds former us ambassadors who worked in both republican and democratic administrations say in december president obama unilaterally expelled thirtyfive russian diplomats for moscows meddling in the us presidential election seven months later in july moscow ordered us missions in russia to reduce their staffs by seven hundred and fiftyfive people the majority were russian nationals banned from employment in us missions at the time trump thanked russia for cutting back on the expense of keeping a larger us diplomatic presence in moscow the largest expulsion since the cold war ended in was the deportation of fifty russian diplomats after the arrest in of the fbi agent robert p hanssen who had spied for moscow for more than fifteen years it used to be expulsions were handled with a very precise decorum stephen sestanovich a former us ambassadoratlarge for the former soviet union told me this has a different look its not tit for tat youve got expulsions taking place in a kind of freeform way that is meant to send signals about the broader relationship the biggest difference in the new response to russia aggression is western unity which is significantly stronger than its response after the russian intervention in eastern ukraine or after a russian missile shot down malaysia airlines flight taylor told me its so important that the us and europe and others around the world act in concert he said the effectiveness of this messageand the clarityto the kremlin and to the russians is magnified when the international community as a whole makes it clear that their actions are unacceptable
https://www.mediaite.com/tv/watch-a-bbc-reporter-confront-putin-is-russia-behind-the-poisoning-of-sergei-skripal/,12,12,at russias national grain centre i ask vladimir putin is russia behind the poisoning of sergei skripal pictwittercomveuhwa steve rosenberg march steve rosenberg the bbcs moscow correspondent has guts the veteran journalist confronted russian president vladimir putin at point blank range on monday after the uk government said it was highly likely the kremlin was behind the nerve agent attack on a former russia spy the government has concluded that it is highly likely that russia was responsible for the act against sergei skripal and his daughter yulia who were left in critical condition after last weeks poisoning and as putin strolled through russias national grain centre rosenberg put it directly to the russian president is russia behind the poisoning of sergei skripal look were busy here with agriculture putin replied as you can see the aim is to create good conditions for peoples lives and you ask me about some tragedies get to the bottom of things here first and then well talk about this well thats not a no skripal was previously jailed by russia for treason after it discovered he was working as a doubleagent for mi during his time in the gru military intelligence service skripal was given refuge in britain as part of an exchange in and settled with his family in salisburg uk where he was the victim of last weeks nerve agent attack that left more than a dozen others injured image via screengrab follow aidan mclaughlin on twitter have a tip we should know 
https://www.theguardian.com/commentisfree/2018/mar/13/russia-west-ties-bind-skripal-poisoning-trump,15,15,with friends like this no wonder britain has enemies even two years ago it would have been unthinkable that the white houses reaction to what is essentially a chemical weapons attack on british soil would be to sullenly avoid pointing any fingers but that is where we found ourselves on monday the us secretary of state rex tillerson did his best to fill the vacuum left by the tweeterinchief by accusing russia of outrageous behaviour but donald trumps own silence on the question of russian involvement speaks volumes when you imagine the storm hed have whipped up had it been islamic state that was suspected of releasing a deadly nerve agent in an english market town the trail of breadcrumbs looks like the chemical equivalent of those sorties russian jets make into british airspace and therein lies the problem the trail of breadcrumbs left by the wouldbe killers of sergei and yulia skripal a toxin so rare and specific in its origins that it would always have pointed to moscow looks increasingly like the chemical equivalent of those brazen sorties russian fighter jets occasionally make into british airspace its all about testing your enemys defences learning from their response tailoring strategies accordingly and if the russians were testing western political resolve rather than military capacity this time then they have their answer how far can russia push its luck further it seems than any of the uss historical allies want to think in this context arguing over whether jeremy corbyns parliamentary response to this crisis was illjudged practically pales into insignificance yes it would have been wiser to get a friendly backbencher to raise the question of russian money sloshing around the tory party leaving corbyn to do the statesmanlike thing it might have been wiser still to withhold the incendiary suggestion that theresa may has somehow been bought until its clear what action she actually intends to take raising it while simultaneously arguing as corbyn seemed to do that if anything shes burning too many bridges with russia makes little sense but corbyn in particular or labour mps in general and mondays debate made clear that they are still fairly distinct entities are not the chief obstacles to an effective concerted response if only it were that simple frankly russia has already learned from intervening in syria that there is almost no red line it cant cross there no war crime so unspeakable that the west wont quietly let it slide rather than get dragged into another war where all the likely outcomes are bad it learned from ukraine that all is not entirely well in nato and from dabbling in the us election not only that social media is a gift to information warfare but also that western democracy isnt completely resolute in defending its integrity that even a tainted victory might be preferred to defeat now its moved on to testing all the other ties that used to bind and which could present an obstacle to its ambitions from the oncespecial relationship to historical eu alliances it will surely be watching hawklike for any sign that brexit has weakened solidarity between britain france and germany or that the eu is now more preoccupied with internal than external threats qa have you been affected by the events in salisbury show if you were at the mill or zizzi restaurant in salisbury city centre on sunday and monday march you can share your experience with us by using our encrypted form your responses will only be seen by the guardian and we will treat them confidentially your stories will help our journalists have a more complete picture of these events and we will use some of them in our reporting was this helpful thank you for your feedback and what it learns will ultimately shape the future balance of power around the globe its this bigger picture may was hinting at when she described the attempted murder of the skripals as a challenge to a rulesbased world order a phrase that sounds almost prissy but should be understood as viscerally important even where it stops short of an act of war the rise of a global corporate elite that manages to make enormous profits around the world yet somehow pay minimal tax on them because its worked out how to put itself beyond the reach of any one national tax system thats a challenge to rulesbased world order president trump at least when blithely unleashing selfdestructive trade wars or casually tweeting threats to north korea looks increasingly like one too so does the emergence of quasifascist populist parties in europe no wonder the russians think the old world order is breaking down that there are onceinalifetime opportunities here for an aggressive power with the selfdiscipline to exploit the resulting chaos and confusion it would be unwise to put it mildly if the west fell over itself to prove their point
